Date,Open,High,Low,Close,Volume
2011-03-14,54.704475225764675,54.88614639173533,54.106493073320244,54.74232482910156,815600
2011-03-15,53.4101186145441,54.59852384168043,53.39498223252846,54.31088638305664,1532000
2011-03-16,54.05351518381784,54.54552545060417,53.440385013217835,53.81128692626953,1455000
2011-03-17,54.87103132265176,55.23436805888368,54.000541991610724,54.34117126464844,829100
2011-03-18,54.969431543974295,55.279776462746426,54.70449577119121,54.99971008300781,1377600
2011-03-21,55.67336849900687,55.9761422131107,55.50683949122672,55.764198303222656,844600
2011-03-22,55.29490767940331,55.809631191050805,53.69775115539593,54.159488677978516,3206700
2011-03-23,54.076219270593185,54.204898693120164,53.62204709102171,54.06107711791992,1965300
2011-03-24,54.288173633217234,54.734769047177195,54.03838004149034,54.65150451660156,1183500
2011-03-25,54.88613816119137,55.17377546828711,54.41682971536778,54.89370346069336,1620700
2011-03-28,54.87100091743943,55.11322334902617,54.74989258916521,54.99211502075195,1568600
2011-03-29,54.954290588243786,55.476585291667966,54.590959661980754,55.332763671875,942200
2011-03-30,55.57499880704662,55.85507103140957,55.2722191165271,55.34034729003906,920700
2011-03-31,55.31005801299017,56.165405130851106,55.12082146500881,56.11241912841797,1121200
2011-04-01,56.43029876240746,57.050993945100984,56.40758554258281,56.695228576660156,1280700
2011-04-04,56.982904354295925,57.38408488349744,56.68012474403644,57.25540542602539,880500
2011-04-05,57.1115642940523,57.4673297813973,56.62711939321109,57.09642791748047,1118400
2011-04-06,57.47492399103591,57.56575961214478,56.83152088954433,57.240272521972656,814100
2011-04-07,57.04346019309387,57.24026780174647,56.225956995651295,56.596858978271484,1120700
2011-04-08,56.770950381408106,56.823936370762496,55.81719679798933,56.225948333740234,950800
2011-04-11,56.33949410518958,56.46060246882027,55.48414715722786,55.945884704589844,942500
2011-04-12,55.6658036184624,56.40004208445524,55.597675482680444,56.19566345214844,940300
2011-04-13,56.5060419384652,56.581735412771565,55.938332218604614,56.294097900390625,738600
2011-04-14,55.9685851668913,57.22511243583922,55.862613196318804,57.06615447998047,1307200
